idx,model_bits/data_samples,data_bits/data_samples,(data_bits+model_bits)/data_samples,data_samples,topology,params,quantization_bits,model_bits
032_020_040_001_32b,0.0062703450520833325,0.14527932942534486,0.1515496744774282,7864320.0,032_020_040_001,1541,32,49311.99999999999
032_040_160_001_08b,0.006349232314742475,0.12874191580340266,0.13509114811814513,7864320.0,032_040_160_001,8041,8,49932.39467747554
032_080_020_001_16b,0.006463714587721646,0.13111814208483946,0.1375818566725611,7864320.0,032_080_020_001,4281,16,50832.7199065111
032_160_020_001_08b,0.0070144556294503705,0.12241527935645233,0.1294297349859027,7864320.0,032_160_020_001,8521,8,55163.92369579914
032_040_010_001_32b,0.007084147135416666,0.1426561994245276,0.14974034655994425,7864320.0,032_040_010_001,1741,32,55711.99999999999
032_040_080_001_16b,0.007105520350278212,0.13164034598351768,0.1387458663337959,7864320.0,032_040_080_001,4681,16,55880.08580109995
032_080_080_001_08b,0.007432273352577734,0.12262126571343593,0.13005353906601366,7864320.0,032_080_080_001,9201,8,58449.775972144125
032_040_020_001_32b,0.008793131510416666,0.13947856874049952,0.14827170025091618,7864320.0,032_040_020_001,2161,32,69152.0
032_010_160_001_32b,0.009159342447916666,0.15425969553180038,0.16341903797971705,7864320.0,032_010_160_001,2251,32,72032.0
032_080_040_001_16b,0.009227866751477631,0.12688896647499254,0.13611683322647014,7864320.0,032_080_040_001,5921,16,72570.89705098057
032_160_040_001_08b,0.009469712975342874,0.11958246269884208,0.12905217567418498,7864320.0,032_160_040_001,11761,8,74472.85314624847
032_020_080_001_32b,0.00985107421875,0.1416161568214496,0.1514672310401996,7864320.0,032_020_080_001,2421,32,77472.0
032_320_010_001_08b,0.010353171438184934,0.11887328513742736,0.1292264565756123,7864320.0,032_320_010_001,13781,8,81420.65320474654
032_160_010_001_16b,0.010877244061752693,0.12492133686318993,0.13579858092494262,7864320.0,032_160_010_001,6901,16,85542.12801972294
032_020_640_001_08b,0.010975160664922792,0.1281717911673089,0.13914695183223172,7864320.0,032_020_640_001,14741,8,86312.1755203656
032_040_320_001_08b,0.011438212690806748,0.1213224234447504,0.13276063613555714,7864320.0,032_040_320_001,14761,8,89953.76482856533
032_040_040_001_32b,0.012211100260416666,0.1351774588227272,0.14738855908314388,7864320.0,032_040_040_001,3001,32,96032.0
032_020_320_001_16b,0.012257551505573294,0.13207924735421936,0.14433679885979264,7864320.0,032_020_320_001,7701,16,96397.30745631017
032_320_020_001_08b,0.012646910180287648,0.1153652229346335,0.12801213311492116,7864320.0,032_320_020_001,17001,8,99459.34866903975
032_010_640_001_16b,0.01265527096436858,0.14638430196791888,0.15903957293228746,7864320.0,032_010_640_001,8011,16,99525.1005505031
032_080_160_001_08b,0.012701938635508827,0.1187255445557336,0.13142748319124242,7864320.0,032_080_160_001,15761,8,99892.11005000478
032_040_160_001_16b,0.01277768512460964,0.12641825271615134,0.13919593784076098,7864320.0,032_040_160_001,8041,16,100487.80467917009
032_160_020_001_16b,0.01368622973090069,0.12183050522580745,0.1355167349567081,7864320.0,032_160_020_001,8521,16,107632.89019731691
032_080_010_001_32b,0.01408284505208333,0.13379640398391832,0.14787924903600164,7864320.0,032_080_010_001,3461,32,110751.99999999999
032_160_080_001_08b,0.014268992262813671,0.115467476262711,0.12973646852552465,7864320.0,032_160_080_001,18241,8,112215.92123229081
032_080_080_001_16b,0.014838988080773562,0.12261201459914445,0.13745100267991806,7864320.0,032_080_080_001,9201,16,116698.55074338915
032_010_320_001_32b,0.016971842447916666,0.14438354570884254,0.16135538815675926,7864320.0,032_010_320_001,4171,32,133472.0
032_020_160_001_32b,0.017012532552083334,0.13590911663292596,0.1529216491850093,7864320.0,032_020_160_001,4181,32,133792.0
032_080_020_001_32b,0.01741943359375,0.1311186820579072,0.14853811565165714,7864320.0,032_080_020_001,4281,32,136992.0
032_320_040_001_08b,0.017458243705248604,0.11429452676481255,0.13175277047006118,7864320.0,032_320_040_001,23441,8,137297.2151360607
032_040_080_001_32b,0.019047037760416663,0.13163977693766354,0.15068681469808026,7864320.0,032_040_080_001,4681,32,149791.99999999997
032_160_040_001_16b,0.01931947824427192,0.11897141436735788,0.13829089261162986,7864320.0,032_160_040_001,11761,16,151934.55914599253
032_640_010_001_08b,0.019515503745979164,0.11159794211077194,0.13111344585675108,7864320.0,032_640_010_001,27541,8,153476.16641957886
032_040_640_001_08b,0.020007666272709227,0.11798279950550447,0.1379904657782137,7864320.0,032_040_640_001,28201,8,157346.69002179263
032_080_320_001_08b,0.022272544332556383,0.11240980102835844,0.1346823453609148,7864320.0,032_080_320_001,28881,8,175158.41584540982
032_320_010_001_16b,0.02259641642198588,0.11806872537514815,0.14066514179713402,7864320.0,032_320_010_001,13781,16,177705.449595752
032_640_020_001_08b,0.023604030076752783,0.11063701893823842,0.1342410490149912,7864320.0,032_640_020_001,33961,8,185629.64581320845
032_080_040_001_32b,0.02409261067708333,0.12688889829441904,0.1509815089715024,7864320.0,032_080_040_001,5921,32,189471.99999999997
032_160_160_001_08b,0.02410811061614777,0.11156203270268936,0.13567014331883712,7864320.0,032_160_160_001,31201,8,189593.89648078324
032_020_640_001_16b,0.024185386407909598,0.1277490608471756,0.1519344472550852,7864320.0,032_020_640_001,14741,16,190201.61803545163
032_040_320_001_16b,0.024448080721626526,0.12008448626535635,0.14453256698698289,7864320.0,032_040_320_001,14761,16,192267.53018070193
032_080_160_001_16b,0.026365953471671158,0.1185880325967446,0.14495398606841578,7864320.0,032_080_160_001,15761,16,207350.29520633293
032_320_080_001_08b,0.02642586967244725,0.10970046628111353,0.13612633595356075,7864320.0,032_320_080_001,36321,8,207821.49538242034
032_160_010_001_32b,0.028080240885416663,0.12492175858933477,0.15300199947475146,7864320.0,032_160_010_001,6901,32,220831.99999999997
032_320_020_001_16b,0.028134315939244082,0.11491013328389575,0.14304444922313986,7864320.0,032_320_020_001,17001,16,221257.263527316
032_160_080_001_16b,0.030596278454724506,0.11515579752934475,0.14575207598406925,7864320.0,032_160_080_001,18241,16,240618.92457705902
032_020_320_001_32b,0.03133544921875,0.1320791324833408,0.1634145817020908,7864320.0,032_020_320_001,7701,32,246432.0
032_640_040_001_08b,0.031992275111585235,0.10701597601485748,0.13900825112644272,7864320.0,032_640_040_001,46801,8,251597.48900554198
032_010_640_001_32b,0.03259684244791667,0.14639308913610874,0.17898993158402546,7864320.0,032_010_640_001,8011,32,256352.00000000003
032_040_160_001_32b,0.03271891276041667,0.12641482721082867,0.15913373997124533,7864320.0,032_040_160_001,8041,32,257312.00000000003
032_160_020_001_32b,0.03467203776041667,0.12182882310201724,0.15650086086243392,7864320.0,032_160_020_001,8521,32,272672.0
032_080_080_001_32b,0.03743896484375,0.12260965974225352,0.16004862458600352,7864320.0,032_080_080_001,9201,32,294432.0
032_080_640_001_08b,0.03922044001028302,0.10966925170117367,0.1488896917114567,7864320.0,032_080_640_001,55121,8,308442.09078166896
032_320_040_001_16b,0.03929014859641049,0.1124567619447286,0.1517469105411391,7864320.0,032_320_040_001,23441,16,308990.30140972295
032_160_320_001_08b,0.04168718295929105,0.10664121609491607,0.1483283990542071,7864320.0,032_160_320_001,57121,8,327841.3466904118
032_320_160_001_08b,0.04420938702585263,0.10588439789911112,0.15009378492496375,7864320.0,032_320_160_001,62081,8,347676.76657515333
032_640_010_001_16b,0.045882525305512525,0.10985498544760047,0.155737510753113,7864320.0,032_640_010_001,27541,16,360834.8614106483
032_040_640_001_16b,0.046881369353786964,0.1167063963289062,0.1635877656826932,7864320.0,032_040_640_001,28201,16,368690.0906363739
032_160_040_001_32b,0.04785563151041667,0.11897209302987904,0.1668277245402957,7864320.0,032_160_040_001,11761,32,376352.0
032_640_080_001_08b,0.048744807702119496,0.10575896717297534,0.15450377487509484,7864320.0,032_640_080_001,72481,8,383344.7661079324
032_080_320_001_16b,0.04921863735830083,0.11246496171224862,0.16168359907054947,7864320.0,032_080_320_001,28881,16,387071.1141496324
032_160_160_001_16b,0.053300560381158484,0.1116664756089449,0.16496703599010334,7864320.0,032_160_160_001,31201,16,419172.6630167523
032_320_010_001_32b,0.05607503255208333,0.1180665741674602,0.17414160671954354,7864320.0,032_320_010_001,13781,32,440991.99999999994
032_640_020_001_16b,0.05649958609865921,0.10800861667376012,0.16450820277241932,7864320.0,032_640_020_001,33961,16,444330.8249474076
032_020_640_001_32b,0.05998128255208333,0.1277529737756898,0.18773425632777316,7864320.0,032_020_640_001,14741,32,471711.99999999994
032_040_320_001_32b,0.06006266276041668,0.12008620577398688,0.18014886853440354,7864320.0,032_040_320_001,14761,32,472352.00000000006
032_320_080_001_16b,0.06126413554738349,0.10900759776122868,0.17027173330861214,7864320.0,032_320_080_001,36321,16,481800.7664679989
032_080_160_001_32b,0.06413167317708332,0.11858940715125453,0.18272108032833784,7864320.0,032_080_160_001,15761,32,504351.9999999999
032_320_020_001_32b,0.06917724609375,0.11491255262711395,0.18408979872086395,7864320.0,032_320_020_001,17001,32,544032.0
032_160_080_001_32b,0.07422281901041666,0.11515692858180653,0.1893797475922232,7864320.0,032_160_080_001,18241,32,583712.0
032_160_640_001_08b,0.07646417716392866,0.10388072967374076,0.1803449068376694,7864320.0,032_160_640_001,108961,8,601338.7577538274
032_320_320_001_08b,0.07782932971561023,0.10225839308307816,0.18008772279868834,7864320.0,032_320_320_001,113601,8,612074.7542690678
032_640_040_001_16b,0.0779058832125315,0.10554592430125924,0.18345180751379075,7864320.0,032_640_040_001,46801,16,612676.7954659758
032_640_160_001_08b,0.07795410145680219,0.10080844639645267,0.1787625478532549,7864320.0,032_640_160_001,123841,8,613055.9991687586
032_080_640_001_16b,0.09305429788272014,0.10868433832656592,0.2017386362092861,7864320.0,032_080_640_001,55121,16,731808.7759250336
032_320_040_001_32b,0.09538167317708332,0.11245630698588988,0.2078379801629732,7864320.0,032_320_040_001,23441,32,750111.9999999999
032_160_320_001_16b,0.09730784425878823,0.10645289786625653,0.20376074212504475,7864320.0,032_160_320_001,57121,16,765260.0257612735
032_320_160_001_16b,0.1050161231858485,0.1051986389871066,0.2102147621729551,7864320.0,032_320_160_001,62081,16,825880.3978929322
032_640_010_001_32b,0.11206461588541666,0.1098550615211328,0.22191967740654944,7864320.0,032_640_010_001,27541,32,881312.0
032_040_640_001_32b,0.11475016276041665,0.1167135898799946,0.23146375264041125,7864320.0,032_040_640_001,28201,32,902431.9999999999
032_080_320_001_32b,0.11751708984375,0.11246572015807033,0.22998281000182036,7864320.0,032_080_320_001,28881,32,924192.0
032_640_080_001_16b,0.1205587746672457,0.10409466603305192,0.2246534407002976,7864320.0,032_640_080_001,72481,16,948112.7827911137
032_160_160_001_32b,0.12695719401041666,0.11166740281041712,0.23862459682083376,7864320.0,032_160_160_001,31201,32,998432.0
032_640_020_001_32b,0.13818766276041666,0.1080078491009772,0.24619551186139385,7864320.0,032_640_020_001,33961,32,1086752.0
032_640_320_001_08b,0.13892671416464922,0.09781679636798797,0.2367435105326372,7864320.0,032_640_320_001,226561,8,1092564.136739334
032_320_640_001_08b,0.13902480647580842,0.0988767707409958,0.23790157721680424,7864320.0,032_320_640_001,216641,8,1093335.5660638297
032_320_080_001_32b,0.14779052734375,0.1090086438615496,0.2567991712052996,7864320.0,032_320_080_001,36321,32,1162272.0
