topology,data_bits/data_samples,data_samples,params,joules,joules_std,time,time_std,joules_per_pixel,joules_per_pixel_std,micro_joules_per_pixel,micro_joules_per_pixel_std
032_640_010_001,0.12191678737290206,3932160.0,27541,159.26905,11.677972633193145,8.723309516906738,0.14037894869623632,4.050421396891276e-05,2.969862018125698e-06,40.504213968912765,2.969862018125698
032_160_160_001,0.12280593717781205,3932160.0,31201,150.5385,11.152509948020828,8.72909140586853,0.15194964171979614,3.828392028808594e-05,2.836229946904711e-06,38.28392028808594,2.836229946904711
032_080_320_001,0.12285854284030695,3932160.0,28881,154.49765000000002,10.846866670163394,8.725122451782227,0.14440912809395212,3.929078420003256e-05,2.758500841818083e-06,39.29078420003256,2.758500841818083
032_320_040_001,0.12351718274876475,3932160.0,23441,151.24925,10.258205243197164,8.715742349624634,0.1462147583845694,3.84646733601888e-05,2.6087964994296172e-06,38.4646733601888,2.6087964994296176
032_160_080_001,0.1243430174421519,3932160.0,18241,150.24044999999998,10.402931520422163,8.712170362472534,0.14313638167123888,3.8208122253417964e-05,2.6456022950292367e-06,38.20812225341797,2.645602295029237
032_320_020_001,0.12445367824596665,3932160.0,17001,152.4438,11.26167064375629,8.716187238693237,0.14389061063098868,3.876846313476563e-05,2.8639909474070966e-06,38.76846313476563,2.8639909474070966
032_040_640_001,0.12533851489424705,3932160.0,28201,159.08245,11.608059299512776,8.736600160598755,0.15004780325522513,4.045675913492838e-05,2.952082137937616e-06,40.45675913492838,2.952082137937616
032_320_010_001,0.1262478996689121,3932160.0,13781,150.75115,10.882127257376137,8.701229095458984,0.14177319878093364,3.8337999979654944e-05,2.7674680728597355e-06,38.337999979654946,2.7674680728597356
032_160_040_001,0.12691415299971898,3932160.0,11761,148.3169,10.50189365025213,8.710168600082397,0.14324960273834053,3.771893819173177e-05,2.6707696661000903e-06,37.71893819173177,2.6707696661000906
032_040_320_001,0.1273264495966335,3932160.0,14761,152.83464999999998,10.727333138240557,8.732424974441528,0.14492743550863774,3.8867861429850255e-05,2.7281018926596467e-06,38.86786142985026,2.7281018926596468
032_080_160_001,0.1276844548837592,3932160.0,15761,149.4949,10.465768319746672,8.705384492874146,0.1466714300480294,3.8018519083658856e-05,2.6615825194668256e-06,38.01851908365886,2.6615825194668257
032_160_020_001,0.1292884336474041,3932160.0,8521,149.32119999999998,10.995677385492407,8.701492547988892,0.1398437840978485,3.797434488932291e-05,2.7963453637421687e-06,37.974344889322914,2.796345363742169
032_080_080_001,0.1296069495535145,3932160.0,9201,146.316,11.410038426071232,8.702662706375122,0.14156872598796827,3.72100830078125e-05,2.901722825640674e-06,37.2100830078125,2.901722825640674
032_160_010_001,0.13117359809887905,3932160.0,6901,147.5609,9.624816343088888,8.713313579559326,0.13986935514321466,3.752667744954427e-05,2.4477173724082663e-06,37.52667744954427,2.4477173724082664
032_040_160_001,0.13244750175314646,3932160.0,8041,148.2159,10.851258231932388,8.715122938156128,0.14737036746754598,3.769325256347656e-05,2.75961767372955e-06,37.69325256347656,2.7596176737295504
032_080_040_001,0.132951133325696,3932160.0,5921,146.30790000000002,10.376404601414754,8.6985502243042,0.1398037133898377,3.720802307128907e-05,2.638856150669035e-06,37.20802307128907,2.638856150669035
032_020_640_001,0.13469242330950995,3932160.0,14741,158.00455000000002,10.525001380894881,8.733372688293457,0.14093322882767204,4.018263498942058e-05,2.6766462658932703e-06,40.18263498942058,2.6766462658932704
032_080_020_001,0.13634681773061555,3932160.0,4281,146.21075,11.506310042383584,8.702413558959961,0.13931683203224224,3.7183316548665365e-05,2.9262059637409422e-06,37.18331654866537,2.9262059637409426
032_020_320_001,0.13729379347835974,3932160.0,7701,152.30874999999997,11.394226914203605,8.722099542617798,0.15916321089955876,3.8734118143717444e-05,2.8977017502348848e-06,38.734118143717446,2.897701750234885
032_040_080_001,0.13748261076398194,3932160.0,4681,145.6295,10.991894626834686,8.719287872314453,0.15209706214008706,3.7035497029622395e-05,2.7953833584682935e-06,37.0354970296224,2.7953833584682934
032_080_010_001,0.13845822100217145,3932160.0,3461,146.7315,10.087017316417601,8.702178239822388,0.14536273047117057,3.731575012207032e-05,2.5652611583500166e-06,37.31575012207032,2.5652611583500167
032_040_040_001,0.14043796371358136,3932160.0,3001,144.90595,10.442955457673596,8.702085971832275,0.1424861245343365,3.685148874918619e-05,2.6557809086287426e-06,36.851488749186196,2.655780908628743
032_020_160_001,0.1412826084997505,3932160.0,4181,147.9452,10.79233740639475,8.719075918197632,0.1424091330481901,3.762440999348958e-05,2.7446333329250974e-06,37.624409993489586,2.7446333329250976
032_040_020_001,0.14482745078081885,3932160.0,2161,145.6126,10.355725638869432,8.70362401008606,0.14021240742372496,3.703119913736979e-05,2.633597218543862e-06,37.03119913736979,2.633597218543862
032_020_080_001,0.14577680736159285,3932160.0,2421,145.74699999999999,10.077675910585436,8.706589460372925,0.13743447563171,3.706537882486979e-05,2.5628855159976796e-06,37.06537882486979,2.5628855159976798
032_040_010_001,0.14774071991754076,3932160.0,1741,145.99495,10.87587311795653,8.707544326782227,0.15045481711396896,3.712843577067057e-05,2.7658775629568815e-06,37.12843577067058,2.7658775629568817
032_010_320_001,0.14992858261490866,3932160.0,4171,153.32704999999999,10.550109947151494,8.701582908630371,0.14976470294284497,3.899308522542317e-05,2.6830317044961277e-06,38.99308522542317,2.683031704496128
032_020_040_001,0.1509589472785592,3932160.0,1541,145.9634,10.990124687337087,8.716098070144653,0.1518664586055448,3.712041219075521e-05,2.7949332395775063e-06,37.12041219075521,2.7949332395775066
032_010_640_001,0.15316947860022387,3932160.0,8011,159.0383,10.919293611533412,8.738871335983276,0.14158135631693522,4.0445531209309894e-05,2.7769199654982027e-06,40.4455312093099,2.7769199654982026
032_020_020_001,0.15520010103161136,3932160.0,1101,144.97799999999998,10.751682397274358,8.725645542144775,0.15770350554252238,3.6869812011718745e-05,2.7342942294500624e-06,36.86981201171875,2.7342942294500627
032_020_010_001,0.15709601559986672,3932160.0,881,145.6993,10.468045634550661,8.720380306243896,0.15031213074319574,3.7053248087565105e-05,2.6621616705705417e-06,37.05324808756511,2.662161670570542
032_010_080_001,0.16030784118920566,3932160.0,1291,146.37089999999998,10.40318661027674,8.706416130065918,0.14966119013383325,3.722404479980468e-05,2.6456671677339527e-06,37.22404479980468,2.645667167733953
032_010_160_001,0.16109274287397662,3932160.0,2251,147.1596,10.348517182640078,8.70246696472168,0.14154935729468046,3.7424621582031254e-05,2.631764013326029e-06,37.42462158203126,2.631764013326029
032_010_040_001,0.1620065536039571,3932160.0,811,146.95850000000002,10.550684597569342,8.722865581512451,0.1531888556169459,3.7373479207356776e-05,2.6831778456546383e-06,37.37347920735678,2.6831778456546385
032_010_020_001,0.1664188159008821,3932160.0,571,145.03445,9.746732873431494,8.714216947555542,0.14785249777816797,3.688416798909505e-05,2.4787223494037613e-06,36.88416798909505,2.4787223494037613
032_010_010_001,0.16994256855299075,3932160.0,451,144.08360000000002,10.188155209500113,8.709775924682617,0.13615081536717466,3.6642354329427086e-05,2.5909818546295453e-06,36.642354329427086,2.5909818546295456
